,Contract ID,Bid Rank,Vendor ID,PercentOfEstimates,ParticipantsCount,Unnamed: 8
1741,C11389,4,159C,1.171874,4,
1743,C11864,1,163D,1.028021,2,
1744,C11864,2,159C,1.139816,2,
1746,C10576,1,279A,0.94175,3,
1747,C10576,2,903A,1.068299,3,
1748,C10576,3,005A,1.363471,3,
1750,C11633,1,696A,1.020728,3,
1751,C11633,2,065A,1.151666,3,
1752,C11633,3,692A,1.230476,3,
1754,C86019,1,164A,0.980779,6,
1755,C86019,2,011A,1.006286,6,
1756,C86019,3,169A,1.019429,6,
1757,C86019,4,392G,1.062493,6,
1758,C86019,5,870A,1.120557,6,
1759,C86019,6,373A,1.171908,6,
1761,C11823,1,1065A,0.967706,5,
1762,C11823,2,982A,1.158602,5,
1763,C11823,3,1032A,1.17902,5,
1764,C11823,4,060B,1.273298,5,
1765,C11823,5,179A,1.356227,5,
1767,C12242,1,1052A,0.63403,3,
1768,C12242,2,1064A,0.830493,3,
1769,C12242,3,982A,0.839391,3,
1771,C12185,1,009A,0.950492,2,
1772,C12185,2,074A,1.247842,2,
1774,C12290,1,1067A,0.80636,6,
1775,C12290,2,966A,0.872712,6,
1776,C12290,3,1066A,0.87299,6,
1777,C12290,4,332A,0.990473,6,
1778,C12290,5,179A,1.012192,6,
1779,C12290,6,766A,1.03127,6,
1781,C12200,1,118A,1.052074,4,
1782,C12200,2,005A,1.125984,4,
1783,C12200,3,163D,1.294735,4,
1784,C12200,4,159C,1.31022,4,
1786,C12240,1,381A,0.962948,3,
1787,C12240,2,091A,1.28465,3,
1788,C12240,3,005A,1.361546,3,
1790,C92052,1,373A,1.101983,7,
1791,C92052,2,164A,1.10524,7,
1792,C92052,3,417A,1.126783,7,
1793,C92052,4,968A,1.161827,7,
1794,C92052,5,250A,1.170948,7,
1795,C92052,6,169A,1.19491,7,
1796,C92052,7,562A,1.203179,7,
1798,C11435R,1,903A,1.077646,1,
1800,C10739,1,124A,0.911179,2,
1801,C10739,2,164A,0.949835,2,
1803,C12277,1,741A,1.05011,2,
1804,C12277,2,091A,1.484907,2,
1806,C11065,1,053D,0.950966,9,
1807,C11065,2,392G,1.037944,9,
1808,C11065,3,250A,1.040785,9,
1809,C11065,4,084A,1.051983,9,
1810,C11065,5,1063A,1.117861,9,
1811,C11065,6,169A,1.136175,9,
1812,C11065,7,435A,1.155714,9,
1813,C11065,8,994A,1.251155,9,
1814,C11065,9,373A,1.281729,9,
1816,C11604,1,201A,0.833506,3,
1817,C11604,2,068A,0.997798,3,
1818,C11604,3,245B,1.036384,3,
1820,C11500,1,245B,1.147583,4,
1821,C11500,2,150B,1.151584,4,
1822,C11500,3,767A,1.184067,4,
1823,C11500,4,201A,1.209892,4,
1825,C10684S,1,924A,1.013776,3,
1826,C10684S,2,159C,1.047499,3,
1827,C10684S,3,065A,1.052986,3,
1829,C12140,1,701A,0.999507,5,
1830,C12140,2,668A,1.252369,5,
1831,C12140,3,005A,1.307407,5,
1832,C12140,4,1011A,1.388138,5,
1833,C12140,5,955A,1.575273,5,
1835,C92999,1,160A,1.098608,2,
1836,C92999,2,903A,1.261457,2,
1838,C11978R,1,163D,1.001959,5,
1839,C11978R,2,1060A,1.073644,5,
1840,C11978R,3,159C,1.091109,5,
1841,C11978R,4,017A,1.143634,5,
1842,C11978R,5,005A,1.219907,5,
1844,C12188,1,169A,0.935984,6,
1845,C12188,2,562A,1.005642,6,
1846,C12188,3,392G,1.048758,6,
1847,C12188,4,093B,1.073718,6,
1848,C12188,5,164A,1.099059,6,
1849,C12188,6,870A,1.209451,6,
1851,C12197,1,159C,0.915499,3,
1852,C12197,2,005A,0.934384,3,
1853,C12197,3,163D,1.005886,3,
1855,C12074,1,903A,0.952508,1,
1857,C12115,1,505A,0.825797,8,
1858,C12115,2,295A,0.847162,8,
1859,C12115,3,068A,0.852486,8,
1860,C12115,4,017A,0.909106,8,
1861,C12115,5,1060A,0.963216,8,
1862,C12115,6,159C,0.979201,8,
1863,C12115,7,163D,0.996818,8,
1864,C12115,8,005A,1.013625,8,
1866,C12357,1,720A,0.962032,1,
1868,C12032S,1,790A,0.854693,3,
1869,C12032S,2,692A,1.027279,3,
1870,C12032S,3,164A,1.123086,3,
1872,C12207,1,1052A,0.808261,4,
1873,C12207,2,1064A,0.987062,4,
1874,C12207,3,091A,1.24858,4,
1875,C12207,4,156A,2.13673,4,
1877,C11410R,1,903A,1.064802,3,
1878,C11410R,2,160A,1.087369,3,
1879,C11410R,3,503F,1.127945,3,
1881,C12331,1,1065A,0.798641,4,
1882,C12331,2,1052A,0.923577,4,
1883,C12331,3,1064A,1.004596,4,
1884,C12331,4,156A,1.67805,4,
1886,C11850,1,822B,1.134133,5,
1887,C11850,2,150B,1.173867,5,
1888,C11850,3,090A,1.192349,5,
1889,C11850,4,616A,1.333082,5,
1890,C11850,5,1071A,1.335764,5,
1892,C11933R,1,870A,1.013842,2,
1893,C11933R,2,164A,1.048808,2,
1895,C12042,1,169A,0.949344,3,
1896,C12042,2,164A,1.019178,3,
1897,C12042,3,250A,1.034609,3,
1899,C12222,1,868A,1.100674,3,
1900,C12222,2,064A,1.129889,3,
1901,C12222,3,1024A,1.261007,3,
1903,C11261,1,870A,0.709762,4,
1904,C11261,2,164A,0.817761,4,
1905,C11261,3,865A,0.855073,4,
1906,C11261,4,692A,0.940178,4,
1908,C11986,1,766C,0.909888,3,
1909,C11986,2,163D,0.972052,3,
1910,C11986,3,159C,0.976553,3,
1912,C12530,1,160A,0.949674,4,
1913,C12530,2,163C,1.000758,4,
1914,C12530,3,025A,1.095674,4,
1915,C12530,4,005A,1.123682,4,
1917,C11352,1,084A,1.53,5,
1918,C11352,2,674A,1.578945,5,
1919,C11352,3,769A,1.5975,5,
1920,C11352,4,903A,1.917493,5,
1921,C11352,5,005A,2.15875,5,
1923,C12441,1,118A,0.964428,6,
1924,C12441,2,163D,0.971437,6,
1925,C12441,3,005A,1.033776,6,
1926,C12441,4,159C,1.043781,6,
1927,C12441,5,017A,1.049443,6,
1928,C12441,6,160A,1.121308,6,
1930,C12426,1,163D,0.871335,4,
1931,C12426,2,505A,0.879497,4,
1932,C12426,3,005A,0.954379,4,
1933,C12426,4,159C,1.110674,4,
1935,C12102,1,028B,0.769235,3,
1936,C12102,2,159C,0.899668,3,
1937,C12102,3,017A,0.911867,3,
1939,C12283R,1,159C,1.136788,2,
1940,C12283R,2,017A,1.195553,2,
1942,C12425,1,201A,1.020211,1,
1944,C10584,1,1078A,1.166811,8,
1945,C10584,2,159C,1.215956,8,
1946,C10584,3,392G,1.248918,8,
1947,C10584,4,250A,1.282713,8,
1948,C10584,5,1063A,1.319484,8,
1949,C10584,6,084A,1.352793,8,
1950,C10584,7,711A,1.355917,8,
1951,C10584,8,164A,1.362041,8,
1953,C12190,1,150B,0.797609,4,
1954,C12190,2,090A,0.825074,4,
1955,C12190,3,854A,0.910116,4,
1956,C12190,4,065A,1.066733,4,
1958,C12448,1,017A,1.070759,2,
1959,C12448,2,159C,1.172806,2,
1961,C11825R,1,065A,0.904883,3,
1962,C11825R,2,865A,1.040048,3,
1963,C11825R,3,696A,1.044546,3,
1965,C12211,1,274A,1.059457,5,
1966,C12211,2,1011A,1.066969,5,
1967,C12211,3,160A,1.089175,5,
1968,C12211,4,977A,1.36406,5,
1969,C12211,5,777A,1.386736,5,
1971,C12345,1,505A,0.766243,4,
1972,C12345,2,005A,0.913721,4,
1973,C12345,3,163D,0.975593,4,
1974,C12345,4,159C,0.991888,4,
1976,C12245,1,163D,1.016018,6,
1977,C12245,2,505A,1.036085,6,
1978,C12245,3,1084A,1.055473,6,
1979,C12245,4,159C,1.068099,6,
1980,C12245,5,005A,1.115153,6,
1981,C12245,6,091A,1.301541,6,
1983,C12344,1,1084A,1.002901,5,
1984,C12344,2,005A,1.00704,5,
1985,C12344,3,159C,1.055308,5,
1986,C12344,4,163D,1.127838,5,
1987,C12344,5,091A,1.230199,5,
1989,C10592,1,1063A,1.173739,5,
1990,C10592,2,977A,1.383523,5,
1991,C10592,3,160A,1.420906,5,
1992,C10592,4,903A,1.489255,5,
1993,C10592,5,1011A,1.709399,5,
1995,C11182,1,279A,1.098596,5,
1996,C11182,2,1011A,1.172082,5,
1997,C11182,3,160A,1.182576,5,
1998,C11182,4,977A,1.221589,5,
1999,C11182,5,005A,1.289962,5,
2001,C12247,1,091A,0.902774,4,
2002,C12247,2,547A,1.002067,4,
2003,C12247,3,163D,1.241799,4,
2004,C12247,4,005A,1.270592,4,
2006,C12353,1,505A,0.99658,4,
2007,C12353,2,163D,1.004503,4,
2008,C12353,3,547A,1.028761,4,
2009,C12353,4,005A,1.045055,4,
2011,C12648,1,939A,0.688558,4,
2012,C12648,2,110E,0.711604,4,
2013,C12648,3,160A,0.794071,4,
2014,C12648,4,621A,0.881834,4,
2016,C12543,1,696A,1.056963,2,
2017,C12543,2,692A,1.587008,2,
2019,C11780,1,159C,0.973491,2,
2020,C11780,2,417A,1.164439,2,
2022,C11478,1,090A,1.238676,6,
2023,C11478,2,392G,1.263512,6,
2024,C11478,3,099H,1.291762,6,
2025,C11478,4,150B,1.363392,6,
2026,C11478,5,200A,1.365479,6,
2027,C11478,6,164A,1.470744,6,
2029,C11944R,1,793A,0.846265,5,
2030,C11944R,2,1085A,0.850484,5,
2031,C11944R,3,011A,0.990159,5,
2032,C11944R,4,159C,1.043987,5,
2033,C11944R,5,200A,1.105295,5,
2035,C11529R,1,503F,0.95766,2,
2036,C11529R,2,1063A,1.865212,2,
2038,C12336R,1,417A,0.805053,2,
2039,C12336R,2,547C,0.906927,2,
2041,C11624,1,1011A,0.974736,9,
2042,C11624,2,668A,0.984684,9,
2043,C11624,3,779A,1.009317,9,
2044,C11624,4,995A,1.019535,9,
2045,C11624,5,821A,1.042891,9,
2046,C11624,6,955A,1.044365,9,
2047,C11624,7,160A,1.091364,9,
2048,C11624,8,977A,1.14066,9,
2049,C11624,9,005A,1.150718,9,
2051,C12589,1,162A,0.733663,3,
2052,C12589,2,1032A,0.959011,3,
2053,C12589,3,060B,1.170895,3,
2055,C12355,1,692A,1.101614,5,
2056,C12355,2,164A,1.143315,5,
2057,C12355,3,790A,1.207921,5,
2058,C12355,4,124A,1.216514,5,
2059,C12355,5,065A,1.469843,5,
2061,C12544,1,1032A,0.951233,4,
2062,C12544,2,162A,1.102894,4,
2063,C12544,3,179A,1.186588,4,
2064,C12544,4,060B,1.188758,4,
2066,C11213,1,995A,1.031218,5,
2067,C11213,2,059B,1.117372,5,
2068,C11213,3,084A,1.178584,5,
2069,C11213,4,1084A,1.182294,5,
2070,C11213,5,091A,1.195795,5,
2072,C11971,1,417A,0.839803,10,
2073,C11971,2,279A,0.909803,10,
2074,C11971,3,777A,0.954875,10,
2075,C11971,4,903A,1.033211,10,
2076,C11971,5,769A,1.064291,10,
2077,C11971,6,084A,1.079151,10,
2078,C11971,7,968A,1.083741,10,
2079,C11971,8,632A,1.101979,10,
2080,C11971,9,1063A,1.20724,10,
2081,C11971,10,005A,1.260457,10,
2083,C11641,1,279A,1.092657,7,
2084,C11641,2,977A,1.137593,7,
2085,C11641,3,790A,1.198352,7,
2086,C11641,4,1011A,1.200842,7,
2087,C11641,5,1090A,1.260125,7,
2088,C11641,6,779A,1.274658,7,
2089,C11641,7,955A,1.302416,7,
2091,C12378,1,697A,0.971759,2,
2092,C12378,2,720A,0.977988,2,
2094,C12025,1,547A,0.808883,2,
2095,C12025,2,091A,1.093686,2,
2097,C11970,1,245B,1.025814,6,
2098,C11970,2,547C,1.128835,6,
2099,C11970,3,767A,1.162013,6,
2100,C11970,4,159C,1.189819,6,
2101,C11970,5,091A,1.244801,6,
2102,C11970,6,870A,1.257998,6,
2104,C12651,1,090A,0.697542,5,
2105,C12651,2,150B,0.724618,5,
2106,C12651,3,854A,0.725094,5,
2107,C12651,4,200A,0.731234,5,
2108,C12651,5,065A,0.955476,5,
2110,C11351,1,164A,1.085234,5,
2111,C11351,2,696A,1.356262,5,
2112,C11351,3,769A,1.389314,5,
2113,C11351,4,1011A,1.444999,5,
2114,C11351,5,005A,1.519798,5,
2116,C12545,1,1065A,0.814495,7,
2117,C12545,2,982A,0.822984,7,
2118,C12545,3,1091A,0.840349,7,
2119,C12545,4,595A,1.083404,7,
2120,C12545,5,060B,1.147222,7,
2121,C12545,6,162A,1.347649,7,
2122,C12545,7,1032A,1.47429,7,
2124,C12017,1,059B,0.968507,8,
2125,C12017,2,053D,0.988386,8,
2126,C12017,3,084A,1.03443,8,
2127,C12017,4,968A,1.054738,8,
2128,C12017,5,417A,1.076849,8,
2129,C12017,6,091A,1.093454,8,
2130,C12017,7,174A,1.107686,8,
2131,C12017,8,159C,1.109786,8,
2133,C11857,1,790A,0.774944,7,
2134,C11857,2,955A,0.903372,7,
2135,C11857,3,977A,1.086194,7,
2136,C11857,4,562A,1.119382,7,
2137,C11857,5,903A,1.120312,7,
2138,C11857,6,1011A,1.130331,7,
2139,C11857,7,777A,1.294543,7,
2141,C11739,1,053D,1.051765,7,
2142,C11739,2,164A,1.077986,7,
2143,C11739,3,968A,1.104426,7,
2144,C11739,4,1086A,1.218292,7,
2145,C11739,5,711A,1.254195,7,
2146,C11739,6,250A,1.256543,7,
2147,C11739,7,084A,1.302686,7,
2149,C12359,1,870A,1.052997,12,
2150,C12359,2,417A,1.089017,12,
2151,C12359,3,924A,1.15359,12,
2152,C12359,4,169A,1.18127,12,
2153,C12359,5,392G,1.191198,12,
2154,C12359,6,011A,1.19358,12,
2155,C12359,7,1078A,1.248267,12,
2156,C12359,8,696A,1.262778,12,
2157,C12359,9,164A,1.303901,12,
2158,C12359,10,562A,1.304056,12,
2159,C12359,11,692A,1.304892,12,
2160,C12359,12,084A,1.453447,12,
2162,C12678,1,124A,1.174694,3,
2163,C12678,2,1094A,1.248566,3,
2164,C12678,3,1011A,1.271589,3,
2166,C93110R,1,059B,0.686719,9,
2167,C93110R,2,417A,0.716746,9,
2168,C93110R,3,084A,0.786215,9,
2169,C93110R,4,995A,0.790603,9,
2170,C93110R,5,245B,0.792718,9,
2171,C93110R,6,159C,0.927481,9,
2172,C93110R,7,870A,0.93677,9,
2173,C93110R,8,767A,0.94708,9,
2174,C93110R,9,279A,1.078894,9,
2176,C12917,1,1078A,0.93285,4,
2177,C12917,2,692A,0.956707,4,
2178,C12917,3,159C,1.031138,4,
2179,C12917,4,924A,1.133871,4,
2181,C12588,1,720A,1.143416,3,
2182,C12588,2,697A,1.28349,3,
2183,C12588,3,503F,1.952741,3,
2185,C12626,1,868A,0.770296,3,
2186,C12626,2,1095A,0.805797,3,
2187,C12626,3,697A,1.125575,3,
2189,C10786,1,417A,0.867151,3,
2190,C10786,2,169A,0.936714,3,
2191,C10786,3,1097A,1.011288,3,
2193,C12679,1,124A,0.782361,2,
2194,C12679,2,1080A,0.826564,2,
2196,C12183,1,865A,0.930951,4,
2197,C12183,2,870A,0.940355,4,
2198,C12183,3,392G,1.070475,4,
2199,C12183,4,164A,1.140921,4,
2201,C11989R,1,163D,1.05971,2,
2202,C11989R,2,017A,1.183235,2,
2204,C12821,1,1091A,0.586446,7,
2205,C12821,2,982A,0.657494,7,
2206,C12821,3,1032A,1.033508,7,
2207,C12821,4,179A,1.090762,7,
2208,C12821,5,162A,1.131428,7,
2209,C12821,6,060B,1.174737,7,
2210,C12821,7,1065A,1.410689,7,
2212,C12968,1,009A,0.767199,3,
2213,C12968,2,074A,0.851005,3,
2214,C12968,3,447A,0.9425,3,
2216,C12631,1,162A,0.822879,5,
2217,C12631,2,503F,1.05898,5,
2218,C12631,3,982A,1.258724,5,
2219,C12631,4,1032A,1.684675,5,
2220,C12631,5,060C,1.941885,5,
2222,C93221,1,924A,0.923318,9,
2223,C93221,2,884A,0.934326,9,
2224,C93221,3,870A,0.937679,9,
2225,C93221,4,392G,0.968096,9,
2226,C93221,5,011A,0.981661,9,
2227,C93221,6,164A,1.029016,9,
2228,C93221,7,696A,1.036161,9,
2229,C93221,8,1078A,1.055148,9,
2230,C93221,9,065A,1.191927,9,
2232,C13051,1,160A,0.899823,5,
2233,C13051,2,505A,0.908941,5,
2234,C13051,3,163C,0.998576,5,
2235,C13051,4,005A,1.002664,5,
2236,C13051,5,159C,1.186137,5,
2238,C11959,1,417A,0.83652,7,
2239,C11959,2,668A,1.046364,7,
2240,C11959,3,1011A,1.07306,7,
2241,C11959,4,955A,1.076388,7,
2242,C11959,5,769A,1.087912,7,
2243,C11959,6,159C,1.209566,7,
2244,C11959,7,005A,1.35945,7,
2246,M05001R,1,1066A,0.631992,5,
2247,M05001R,2,2000A,0.752392,5,
2248,M05001R,3,232A,0.888492,5,
2249,M05001R,4,966A,1.011476,5,
2250,M05001R,5,807A,1.078748,5,
2252,C12549,1,903A,0.885619,8,
2253,C12549,2,279A,0.898901,8,
2254,C12549,3,995A,1.02716,8,
2255,C12549,4,769A,1.038956,8,
2256,C12549,5,025A,1.056015,8,
2257,C12549,6,005A,1.295917,8,
2258,C12549,7,274A,1.36666,8,
2259,C12549,8,790A,1.416026,8,
2261,M06001R,1,1029A,0.976156,2,
2262,M06001R,2,1068A,1.093891,2,
2264,C12632,1,977A,1.010039,4,
2265,C12632,2,1011A,1.018734,4,
2266,C12632,3,955A,1.02608,4,
2267,C12632,4,503F,1.130278,4,
2269,C12963,1,870A,0.842424,6,
2270,C12963,2,164A,0.871974,6,
2271,C12963,3,150B,0.918836,6,
2272,C12963,4,169A,0.932626,6,
2273,C12963,5,392G,0.93766,6,
2274,C12963,6,417A,0.943599,6,
2276,C12731,1,163D,0.855305,4,
2277,C12731,2,2005A,0.888425,4,
2278,C12731,3,159C,1.032689,4,
2279,C12731,4,091A,1.042152,4,
2281,C13048,1,668A,0.841335,4,
2282,C13048,2,163D,0.952313,4,
2283,C13048,3,160A,1.023272,4,
2284,C13048,4,159C,1.040282,4,
2286,M02001,1,903A,1.244548,2,
2287,M02001,2,503F,1.507682,2,
2289,M02002,1,903A,1.001164,2,
2290,M02002,2,503F,1.035651,2,
2292,C12735,1,1084A,0.692916,8,
2293,C12735,2,547A,0.695633,8,
2294,C12735,3,163D,0.757848,8,
2295,C12735,4,505A,0.796406,8,
2296,C12735,5,005A,0.79882,8,
2297,C12735,6,159C,0.857696,8,
2298,C12735,7,174A,0.950485,8,
2299,C12735,8,091A,0.98587,8,
2301,C13061,1,505A,0.89748,6,
2302,C13061,2,005A,0.903181,6,
2303,C13061,3,091A,0.945709,6,
2304,C13061,4,163D,0.945811,6,
2305,C13061,5,159C,0.950514,6,
2306,C13061,6,547C,0.970928,6,
2308,C12733,1,174A,0.842224,5,
2309,C12733,2,163D,0.962788,5,
2310,C12733,3,005A,0.982112,5,
2311,C12733,4,159C,1.013279,5,
2312,C12733,5,091A,1.207559,5,
2314,C13055,1,668A,0.989899,5,
2315,C13055,2,163C,1.04761,5,
2316,C13055,3,701A,1.126363,5,
2317,C13055,4,159C,1.129962,5,
2318,C13055,5,977A,1.131787,5,
2320,C13057,1,505A,0.972151,4,
2321,C13057,2,163D,1.022468,4,
2322,C13057,3,005A,1.102899,4,
2323,C13057,4,159C,1.160127,4,
2325,C12583,1,417A,0.989629,4,
2326,C12583,2,392G,1.117363,4,
2327,C12583,3,870A,1.125735,4,
2328,C12583,4,160A,1.183967,4,
2330,C12323,1,417A,0.794605,9,
2331,C12323,2,392G,0.813844,9,
2332,C12323,3,711A,0.836757,9,
2333,C12323,4,164A,0.848213,9,
2334,C12323,5,769A,0.888419,9,
2335,C12323,6,696A,0.893394,9,
2336,C12323,7,692A,0.951341,9,
2337,C12323,8,124A,0.965782,9,
2338,C12323,9,169A,1.041445,9,
2340,C13014,1,1098A,0.711938,3,
2341,C13014,2,697A,0.752404,3,
2342,C13014,3,720A,0.84094,3,
2344,C12732,1,091A,0.914834,2,
2345,C12732,2,547A,1.255596,2,
2347,C11804,1,968A,1.011516,7,
2348,C11804,2,953A,1.012723,7,
2349,C11804,3,053D,1.0452,7,
2350,C11804,4,435A,1.167336,7,
2351,C11804,5,084A,1.175839,7,
2352,C11804,6,093B,1.211183,7,
2353,C11804,7,417A,1.410039,7,
2355,C12982,1,1025A,0.765018,2,
2356,C12982,2,720A,0.96027,2,
2358,M06002,1,232A,0.980926,4,
2359,M06002,2,159C,1.379653,4,
2360,M06002,3,1068A,1.399149,4,
2361,M06002,4,099H,1.423769,4,
2363,M04002,1,026A,0.636,4,
2364,M04002,2,2007A,0.728909,4,
2365,M04002,3,232A,1.0,4,
2366,M04002,4,1068A,1.340727,4,
2368,M04001R,1,159C,1.037794,4,
2369,M04001R,2,232A,1.08528,4,
2370,M04001R,3,099H,1.166161,4,
2371,M04001R,4,503F,1.253696,4,
2373,C12282R,1,032A,0.76144,2,
2374,C12282R,2,159C,0.95928,2,
2376,C12969,1,179A,0.817056,4,
2377,C12969,2,060B,0.833874,4,
2378,C12969,3,162A,0.85616,4,
2379,C12969,4,1091A,0.886481,4,
2381,C12312,1,159C,1.170503,4,
2382,C12312,2,084A,1.185418,4,
2383,C12312,3,995A,1.195042,4,
2384,C12312,4,232A,1.306554,4,
2386,C12877,1,1010A,0.935197,4,
2387,C12877,2,674A,1.029776,4,
2388,C12877,3,162A,1.060278,4,
2389,C12877,4,060C,1.369773,4,
2391,C11707,1,696A,0.851485,8,
2392,C11707,2,311A,0.863465,8,
2393,C11707,3,870A,0.867374,8,
2394,C11707,4,164A,0.877047,8,
2395,C11707,5,865A,0.924597,8,
2396,C11707,6,417A,0.924601,8,
2397,C11707,7,692A,0.960462,8,
2398,C11707,8,124A,1.035923,8,
2400,C12317,1,090A,1.068495,5,
2401,C12317,2,150B,1.075105,5,
2402,C12317,3,854A,1.085523,5,
2403,C12317,4,616A,1.098198,5,
2404,C12317,5,822B,1.214203,5,
2406,C12598,1,163D,1.047851,4,
2407,C12598,2,159C,1.138576,4,
2408,C12598,3,005A,1.152358,4,
2409,C12598,4,505A,1.206813,4,
2411,C12154,1,769A,0.708631,5,
2412,C12154,2,793A,0.765956,5,
2413,C12154,3,232A,0.829984,5,
2414,C12154,4,084A,0.878156,5,
2415,C12154,5,159C,0.915226,5,
2417,C13096,1,163D,0.933777,5,
2418,C13096,2,159C,0.948365,5,
2419,C13096,3,505A,0.99419,5,
2420,C13096,4,005A,1.089502,5,
2421,C13096,5,091A,1.174795,5,
2423,C12970,1,982A,0.766617,4,
2424,C12970,2,674A,0.882349,4,
2425,C12970,3,162A,0.927345,4,
2426,C12970,4,060C,1.088253,4,
2428,C93222,1,884A,0.901782,11,
2429,C93222,2,870A,0.903903,11,
2430,C93222,3,924A,0.904288,11,
2431,C93222,4,011A,0.918855,11,
2432,C93222,5,169A,0.921805,11,
2433,C93222,6,392G,0.946379,11,
2434,C93222,7,417A,0.970839,11,
2435,C93222,8,865A,1.014982,11,
2436,C93222,9,164A,1.022049,11,
2437,C93222,10,099H,1.119891,11,
2438,C93222,11,065A,1.201433,11,
2440,C12285,1,159C,0.95524,4,
2441,C12285,2,924A,0.995059,4,
2442,C12285,3,017A,1.036073,4,
2443,C12285,4,032A,1.658501,4,
2445,C12865,1,924A,0.890651,4,
2446,C12865,2,692A,0.909478,4,
2447,C12865,3,159C,1.02165,4,
2448,C12865,4,124A,1.10623,4,
2450,C13240,1,164A,0.744171,8,
2451,C13240,2,870A,0.747188,8,
2452,C13240,3,417A,0.75973,8,
2453,C13240,4,169A,0.796328,8,
2454,C13240,5,373A,0.821769,8,
2455,C13240,6,159C,0.852441,8,
2456,C13240,7,562A,0.861649,8,
2457,C13240,8,955A,0.902407,8,
2459,C13115,1,060B,0.819798,3,
2460,C13115,2,162A,0.862593,3,
2461,C13115,3,179A,1.171144,3,
2463,C13074,1,163D,1.113567,6,
2464,C13074,2,505A,1.144277,6,
2465,C13074,3,547A,1.151992,6,
2466,C13074,4,005A,1.175158,6,
2467,C13074,5,159C,1.189782,6,
2468,C13074,6,091A,1.338911,6,
2470,C13223,1,908A,0.963059,6,
2471,C13223,2,697A,1.000871,6,
2472,C13223,3,164A,1.055212,6,
2473,C13223,4,503F,1.064345,6,
2474,C13223,5,1098A,1.079368,6,
2475,C13223,6,162A,1.349215,6,
2477,C13060,1,505A,1.075298,6,
2478,C13060,2,163D,1.102683,6,
2479,C13060,3,547A,1.112788,6,
2480,C13060,4,005A,1.116276,6,
2481,C13060,5,159C,1.123858,6,
2482,C13060,6,091A,1.175044,6,
2484,C11581,1,169A,0.793737,12,
2485,C11581,2,005A,0.827761,12,
2486,C11581,3,779A,0.904328,12,
2487,C11581,4,790A,0.920374,12,
2488,C11581,5,279A,0.927449,12,
2489,C11581,6,160A,0.935631,12,
2490,C11581,7,053D,1.002943,12,
2491,C11581,8,1011A,1.012269,12,
2492,C11581,9,903A,1.015091,12,
2493,C11581,10,769A,1.066016,12,
2494,C11581,11,274A,1.095156,12,
2495,C11581,12,977A,1.162848,12,
2497,C13077,1,159C,0.874248,2,
2498,C13077,2,017A,1.246364,2,
2500,C13104,1,091A,0.99826,2,
2501,C13104,2,547A,1.081142,2,
2503,MM2003,1,163C,0.981049,4,
2504,MM2003,2,005A,1.033315,4,
2505,MM2003,3,668A,1.052344,4,
2506,MM2003,4,159C,1.237025,4,
2508,C13034,1,162A,0.86779,2,
2509,C13034,2,060B,0.915051,2,
2511,C12737,1,505A,1.09754,6,
2512,C12737,2,091A,1.147278,6,
2513,C12737,3,005A,1.157786,6,
2514,C12737,4,163D,1.175017,6,
2515,C12737,5,547A,1.248208,6,
2516,C12737,6,159C,1.419589,6,
2518,C13114,1,162A,0.760483,5,
2519,C13114,2,982A,0.781356,5,
2520,C13114,3,1091A,0.880874,5,
2521,C13114,4,1065A,0.917031,5,
2522,C13114,5,060B,1.180606,5,
2524,C13117,1,060C,1.005361,4,
2525,C13117,2,982A,1.081241,4,
2526,C13117,3,674A,1.102353,4,
2527,C13117,4,162A,1.140514,4,
2529,C13050,1,720A,0.996221,3,
2530,C13050,2,697A,1.035122,3,
2531,C13050,3,1095A,1.659869,3,
2533,C13009,1,163D,1.129349,3,
2534,C13009,2,159C,1.277507,3,
2535,C13009,3,017A,1.515673,3,
2537,C12636,1,090A,0.946229,4,
2538,C12636,2,854A,0.972248,4,
2539,C12636,3,150B,1.028542,4,
2540,C12636,4,870A,1.071262,4,
2542,C11543,1,903A,1.106801,3,
2543,C11543,2,124A,1.122921,3,
2544,C11543,3,977A,1.21216,3,
2546,C13028,1,1095A,1.064254,3,
2547,C13028,2,503F,1.123697,3,
2548,C13028,3,977A,1.182008,3,
2550,C13092,1,091A,0.799034,3,
2551,C13092,2,163D,0.878276,3,
2552,C13092,3,159C,0.894098,3,
2554,C12506,1,865A,0.934425,11,
2555,C12506,2,232A,1.008638,11,
2556,C12506,3,692A,1.0724,11,
2557,C12506,4,150B,1.146348,11,
2558,C12506,5,790A,1.183419,11,
2559,C12506,6,924A,1.256958,11,
2560,C12506,7,1011A,1.352285,11,
2561,C12506,8,968A,1.373798,11,
2562,C12506,9,854A,1.380517,11,
2563,C12506,10,779A,1.430282,11,
2564,C12506,11,065A,1.533611,11,
2566,C12981R,1,741A,0.870385,2,
2567,C12981R,2,547A,0.89587,2,
2569,C12541,1,870A,1.080698,6,
2570,C12541,2,392G,1.115132,6,
2571,C12541,3,099H,1.151763,6,
2572,C12541,4,884A,1.15775,6,
2573,C12541,5,200A,1.257464,6,
2574,C12541,6,159C,1.310919,6,
2576,C11805,1,169A,0.971854,6,
2577,C11805,2,053D,1.082487,6,
2578,C11805,3,562A,1.091664,6,
2579,C11805,4,084A,1.201553,6,
2580,C11805,5,435A,1.225559,6,
2581,C11805,6,968A,1.240522,6,
2583,C12362,1,163D,0.980679,2,
2584,C12362,2,159C,1.064928,2,
